onset	duration	trial_type	label	description
1288.999245	1000.0	IBEG	Impedances Begin	n/a
5075.000133	1000.0	IEND	Impedances End	n/a
11615.94484	1000.0	base	baseline	This is the Baseline Recording
31613.693945	1000.0	bend	baseEnd	Baseline Ends here
32692.444883	1000.0	trno	TrialNo	Showing Trial Number Here
33030.443452	1000.0	fixL	Fixation Loop	Fixation Loop
36210.9432	1000.0	stm	neutral_1_1	Showing the stimulation
51335.443743	1000.0	vlnc	Valence	Showing the Valence
54570.195358	1000.0	arsl	Arousal	n/a
55740.44399	1000.0	dmns	Dominance	Showing the Dominance
57412.193622	1000.0	lkng	Liking	Showing the Liking
59058.694448	1000.0	fmrt	Familiarity	Showing the Familiarity
60441.944841	1000.0	relv	Relevance	Showing the Relevance
62563.694548	1000.0	trno	TrialNo	Showing Trial Number Here
62895.195466	1000.0	fixL	Fixation Loop	Fixation Loop
66025.444027	1000.0	stm	2_2	Showing the stimulation
79407.444969	1000.0	clic	click	Click event have been performed
81150.193512	1000.0	vlnc	Valence	Showing the Valence
82692.193799	1000.0	arsl	Arousal	Showing the Arousal
84957.44504	1000.0	dmns	Dominance	Showing the Dominance
87690.695655	1000.0	lkng	Liking	Showing the Liking
89654.94521	1000.0	fmrt	Familiarity	Showing the Familiarity
90394.694265	1000.0	relv	Relevance	Showing the Relevance
92024.445534	1000.0	cate	Emotion_Categ	Showing the Emotion Categories
105208.195187	1000.0	trno	TrialNo	Showing Trial Number Here
105535.944365	1000.0	fixL	Fixation Loop	Fixation Loop
107734.194864	1000.0	stm	3_3	Showing the stimulation
122858.944349	1000.0	vlnc	Valence	Showing the Valence
124793.944415	1000.0	arsl	Arousal	Showing the Arousal
125592.194963	1000.0	dmns	Dominance	Showing the Dominance
127547.945268	1000.0	lkng	Liking	Showing the Liking
128212.443274	1000.0	fmrt	Familiarity	Showing the Familiarity
129232.194833	1000.0	relv	Relevance	Showing the Relevance
131755.443569	1000.0	trno	TrialNo	Showing Trial Number Here
132094.943337	1000.0	fixL	Fixation Loop	Fixation Loop
134201.193228	1000.0	stm	24_4	Showing the stimulation
138363.944739	1000.0	clic	click	Click event have been performed
149325.945228	1000.0	vlnc	Valence	Showing the Valence
150371.000916	1000.0	IBEG	Impedances Begin	n/a
150408.445392	1000.0	arsl	Arousal	Showing the Arousal
152970.194723	1000.0	dmns	Dominance	Showing the Dominance
153977.443837	1000.0	lkng	Liking	Showing the Liking
154860.000405	1000.0	IEND	Impedances End	n/a
155791.193806	1000.0	fmrt	Familiarity	Showing the Familiarity
157592.443842	1000.0	relv	Relevance	Showing the Relevance
158996.693417	1000.0	cate	Emotion_Categ	Showing the Emotion Categories
173161.694035	1000.0	trno	TrialNo	Showing Trial Number Here
173490.195069	1000.0	fixL	Fixation Loop	Fixation Loop
175500.443671	1000.0	stm	neutral_2_5	Showing the stimulation
190625.195671	1000.0	vlnc	Valence	Showing the Valence
192727.193423	1000.0	arsl	Arousal	Showing the Arousal
192835.000623	1000.0	IBEG	Impedances Begin	n/a
193680.193182	1000.0	dmns	Dominance	Showing the Dominance
194336.194452	1000.0	lkng	Liking	Showing the Liking
196204.445232	1000.0	fmrt	Familiarity	Showing the Familiarity
196969.194151	1000.0	relv	Relevance	Showing the Relevance
197074.999753	1000.0	IEND	Impedances End	n/a
198100.195359	1000.0	trno	TrialNo	Showing Trial Number Here
198419.445287	1000.0	fixL	Fixation Loop	Fixation Loop
199075.444043	1000.0	stm	5_6	Showing the stimulation
206940.944027	1000.0	clic	click	Click event have been performed
214200.193528	1000.0	vlnc	Valence	Showing the Valence
216064.194683	1000.0	arsl	Arousal	Showing the Arousal
217455.695383	1000.0	dmns	Dominance	Showing the Dominance
218667.693436	1000.0	lkng	Liking	Showing the Liking
220498.195477	1000.0	fmrt	Familiarity	Showing the Familiarity
221534.694079	1000.0	relv	Relevance	Showing the Relevance
222876.195051	1000.0	cate	Emotion_Categ	Showing the Emotion Categories
243404.44319	1000.0	trno	TrialNo	Showing Trial Number Here
243734.694365	1000.0	fixL	Fixation Loop	Fixation Loop
243810.194358	1000.0	puse	pause	Pausing the experiment
243815.0	68136.0	boundary	n/a	n/a
246841.963641	1000.0	stm	9_7	Showing the stimulation
257356.96394	1000.0	clic	click	Click event have been performed
259714.215789	1000.0	clic	click	Click event have been performed
261966.715641	1000.0	vlnc	Valence	Showing the Valence
263475.465756	1000.0	arsl	Arousal	Showing the Arousal
264532.714598	1000.0	dmns	Dominance	Showing the Dominance
265468.713343	1000.0	lkng	Liking	Showing the Liking
266154.215559	1000.0	fmrt	Familiarity	Showing the Familiarity
267123.713419	1000.0	relv	Relevance	Showing the Relevance
268043.214064	1000.0	cate	Emotion_Categ	Showing the Emotion Categories
277598.214038	1000.0	trno	TrialNo	Showing Trial Number Here
277926.964015	1000.0	fixL	Fixation Loop	Fixation Loop
278411.964402	1000.0	stm	7_8	Showing the stimulation
293536.464944	1000.0	vlnc	Valence	Showing the Valence
294481.998943	1000.0	IBEG	Impedances Begin	n/a
294731.71344	1000.0	arsl	Arousal	Showing the Arousal
295977.215636	1000.0	dmns	Dominance	Showing the Dominance
296599.96422	1000.0	lkng	Liking	Showing the Liking
298413.714189	1000.0	fmrt	Familiarity	Showing the Familiarity
298503.999859	1000.0	IEND	Impedances End	n/a
299019.71573	1000.0	relv	Relevance	Showing the Relevance
300033.713952	1000.0	trno	TrialNo	Showing Trial Number Here
300344.46463	1000.0	fixL	Fixation Loop	Fixation Loop
300946.214031	1000.0	stm	15_9	Showing the stimulation
310102.963801	1000.0	clic	click	Click event have been performed
311948.214937	1000.0	rsrt	restart	Restarting the experiment
316075.215656	1000.0	vlnc	Valence	Showing the Valence
318093.714565	1000.0	arsl	Arousal	Showing the Arousal
