stimuliName	valence	arousal	dominance	liking	familiarity	relevance	emotionCateg	Quadrant	FivePointScale	MouseClick
neutral_1.mp4	4.9	6.06	5.1	5.0	1.0	1.05	{}	n/a	n/a	n/a
1.mp4	3.03	6.08	5.1	2.0	5.0	1.14	{}	n/a	n/a	n/a
13.m4v	7.95	5.96	5.02	5.0	5.0	1.94	{'0': [u'Amused: Finding something funny or entertaining.', u'', u'', u'', '']}	HVHA	['quit a bit']	[44.86700415611267]
9.m4v	8.9	8.76	7.99	5.0	5.0	3.97	{'1': [u'Adventorous: Willing to take risks or to try out new methods, ideas, or experiences', u'', u'', u'', ''], '0': [u'Excited: Very enthusiastic and eager', u'', u'', u'', '']}	HVHA	['very much', 'moderately']	[30.34561586380005, 42.38183403015137]
5.mp4	2.07	7.33	6.99	1.0	2.0	3.91	{'1': [u'', u'Disgust: A feeling of revulsion or strong disapproval aroused by something unpleasant\n or offensiv', u'', u'', ''], '0': [u'', u'Disgust: A feeling of revulsion or strong disapproval aroused by something unpleasant\n or offensiv', u'', u'', '']}	HVHA	['not at all', 'very much']	[15.260479927062988, 46.70497989654541]
neutral_2.mp4	4.04	6.04	6.18	3.0	1.0	1.19	{'0': [u'', u'Tense: Become tense, typically through anxiety or nervousness', u'', u'', '']}	HVHA	['a little']	[26.4975848197937]
15.mp4	3.61	5.93	6.95	2.0	4.0	1.16	{}	n/a	n/a	n/a
23.mp4	8.97	6.77	5.02	5.0	4.0	3.03	{'1': [u'Happy: Feeling or showing pleasure or contentment', u'', u'', u'', ''], '0': [u'Happy: Feeling or showing pleasure or contentment', u'', u'', u'', '']}	HVHA	['quit a bit', 'very much']	[19.110961198806763, 40.37492299079895]
8.m4v	6.81	6.83	5.0	4.0	4.0	4.03	{}	n/a	n/a	n/a
4.mp4	2.24	5.23	5.06	2.0	1.0	1.11	{'0': [u'', u'', u'', u'', u'weird']}	HVHA	['moderately']	[44.80400085449219]
7.mp4	2.09	4.9	6.06	2.0	1.0	1.0	{'0': [u'', u'', u'Taken Aback: Shock or surprise someone.', u'', '']}	HVHA	['moderately']	[40.03883504867554]
