onset	duration	trial_type	label	description
8874.647599	1000.0	quiz	quiz	Performing Quiz for the Participants
54797.399417	1000.0	qdon	QDone	Quiz is done by the participant
60453.398712	1000.0	base	baseline	n/a
80448.147934	1000.0	bend	baseEnd	Baseline Ends here
81746.149343	1000.0	trno	TrialNo	Showing Trial Number Here
82079.898287	1000.0	fixL	Fixation Loop	Fixation Loop
85631.649289	1000.0	stm	neutral_1_1	Showing the stimulation
100755.898375	1000.0	vlnc	Valence	Showing the Valence
101815.898158	1000.0	arsl	Arousal	Showing the Arousal
102575.64811	1000.0	dmns	Dominance	Showing the Dominance
103289.14756	1000.0	lkng	Liking	Showing the Liking
104073.897377	1000.0	fmrt	Familiarity	Showing the Familiarity
105701.398104	1000.0	relv	Relevance	Showing the Relevance
107332.897	1000.0	trno	TrialNo	Showing Trial Number Here
107654.648926	1000.0	fixL	Fixation Loop	Fixation Loop
108530.898951	1000.0	stm	3_2	Showing the stimulation
120028.648898	1000.0	clic	click	Click event have been performed
123655.399494	1000.0	vlnc	Valence	Showing the Valence
125324.647129	1000.0	arsl	Arousal	Showing the Arousal
126501.647383	1000.0	dmns	Dominance	Showing the Dominance
127561.647166	1000.0	lkng	Liking	Showing the Liking
128458.898887	1000.0	fmrt	Familiarity	Showing the Familiarity
131772.648264	1000.0	relv	Relevance	Showing the Relevance
133692.397457	1000.0	cate	Emotion_Categ	Showing the Emotion Categories
179278.898332	1000.0	trno	TrialNo	Showing Trial Number Here
179616.399016	1000.0	fixL	Fixation Loop	Fixation Loop
180814.146996	1000.0	stm	28_3	Showing the stimulation
195938.647538	1000.0	vlnc	Valence	Showing the Valence
198121.149279	1000.0	arsl	Arousal	Showing the Arousal
199035.148043	1000.0	dmns	Dominance	Showing the Dominance
201301.397569	1000.0	lkng	Liking	Showing the Liking
203488.148935	1000.0	fmrt	Familiarity	Showing the Familiarity
204143.398348	1000.0	relv	Relevance	Showing the Relevance
205328.897852	1000.0	trno	TrialNo	Showing Trial Number Here
205658.397172	1000.0	fixL	Fixation Loop	Fixation Loop
207719.897758	1000.0	stm	8_4	Showing the stimulation
222848.647926	1000.0	vlnc	Valence	Showing the Valence
224250.898417	1000.0	arsl	Arousal	Showing the Arousal
225532.147754	1000.0	dmns	Dominance	Showing the Dominance
226683.899201	1000.0	lkng	Liking	Showing the Liking
228465.897683	1000.0	fmrt	Familiarity	Showing the Familiarity
230752.897449	1000.0	relv	Relevance	Showing the Relevance
234138.897993	1000.0	trno	TrialNo	Showing Trial Number Here
