onset	duration	trial_type	label	description
9277.441632	1000.0	base	baseline	This is the Baseline Recording
29275.190737	1000.0	bend	baseEnd	Baseline Ends here
32448.941376	1000.0	trno	TrialNo	Showing Trial Number Here
32773.190271	1000.0	fixL	Fixation Loop	Fixation Loop
39100.441709	1000.0	stm	neutral_1_1	n/a
54225.191195	1000.0	vlnc	Valence	Showing the Valence
56063.941028	1000.0	arsl	Arousal	Showing the Arousal
57631.190121	1000.0	dmns	Dominance	Showing the Dominance
59557.93988	1000.0	lkng	Liking	Showing the Liking
61108.44193	1000.0	fmrt	Familiarity	Showing the Familiarity
62775.941938	1000.0	relv	Relevance	Showing the Relevance
64098.940697	1000.0	trno	TrialNo	Showing Trial Number Here
64401.69001	1000.0	fixL	Fixation Loop	Fixation Loop
65458.941367	1000.0	stm	7_2	Showing the stimulation
80583.441909	1000.0	vlnc	Valence	Showing the Valence
82468.442246	1000.0	arsl	Arousal	Showing the Arousal
83404.689934	1000.0	dmns	Dominance	Showing the Dominance
84257.192351	1000.0	lkng	Liking	Showing the Liking
85097.192321	1000.0	fmrt	Familiarity	Showing the Familiarity
85958.191473	1000.0	relv	Relevance	Showing the Relevance
86967.94007	1000.0	trno	TrialNo	Showing Trial Number Here
87286.941055	1000.0	fixL	Fixation Loop	Fixation Loop
88369.441219	1000.0	stm	8_3	Showing the stimulation
95281.941444	1000.0	clic	click	Click event have been performed
103494.190704	1000.0	vlnc	Valence	Showing the Valence
105537.691992	1000.0	arsl	Arousal	Showing the Arousal
105685.998872	1000.0	IBEG	Impedances Begin	n/a
107305.691857	1000.0	dmns	Dominance	Showing the Dominance
108743.191604	1000.0	lkng	Liking	Showing the Liking
109842.441324	1000.0	fmrt	Familiarity	Showing the Familiarity
110056.999605	1000.0	IEND	Impedances End	n/a
110949.941352	1000.0	relv	Relevance	Showing the Relevance
112679.941021	1000.0	cate	Emotion_Categ	Showing the Emotion Categories
127708.940674	1000.0	trno	TrialNo	Showing Trial Number Here
128013.691586	1000.0	fixL	Fixation Loop	Fixation Loop
128080.692329	1000.0	puse	pause	Pausing the experiment
128089.0	86159.0	boundary	n/a	n/a
128342.212817	1000.0	stm	neutral_2_4	Showing the stimulation
143466.71336	1000.0	vlnc	Valence	Showing the Valence
145673.463108	1000.0	arsl	Arousal	Showing the Arousal
146329.71332	1000.0	dmns	Dominance	Showing the Dominance
147482.963452	1000.0	lkng	Liking	Showing the Liking
149401.462903	1000.0	fmrt	Familiarity	Showing the Familiarity
150930.963257	1000.0	relv	Relevance	Showing the Relevance
152740.463601	1000.0	trno	TrialNo	Showing Trial Number Here
153041.462773	1000.0	fixL	Fixation Loop	Fixation Loop
155172.963986	1000.0	stm	4_5	Showing the stimulation
162331.962572	1000.0	clic	click	Click event have been performed
163138.463428	1000.0	clic	click	Click event have been performed
164446.714228	1000.0	clic	click	Click event have been performed
165357.713109	1000.0	clic	click	Click event have been performed
167259.21406	1000.0	clic	click	Click event have been performed
170297.464529	1000.0	vlnc	Valence	Showing the Valence
175613.463657	1000.0	arsl	Arousal	Showing the Arousal
176261.214619	1000.0	dmns	Dominance	Showing the Dominance
179303.714713	1000.0	lkng	Liking	Showing the Liking
181414.214229	1000.0	fmrt	Familiarity	Showing the Familiarity
182734.962447	1000.0	relv	Relevance	Showing the Relevance
183583.464181	1000.0	cate	Emotion_Categ	Showing the Emotion Categories
209004.214952	1000.0	trno	TrialNo	Showing Trial Number Here
209310.71349	1000.0	fixL	Fixation Loop	Fixation Loop
210409.714269	1000.0	stm	27_6	Showing the stimulation
214244.962949	1000.0	rsrt	restart	Restarting the experiment
215942.964783	1000.0	clic	click	Click event have been performed
217702.462884	1000.0	clic	click	Click event have been performed
220703.213556	1000.0	clic	click	Click event have been performed
224832.463438	1000.0	clic	click	Click event have been performed
225534.463754	1000.0	vlnc	Valence	Showing the Valence
227247.962808	1000.0	arsl	Arousal	Showing the Arousal
228860.96452	1000.0	dmns	Dominance	Showing the Dominance
230478.464799	1000.0	lkng	Liking	Showing the Liking
231560.964962	1000.0	fmrt	Familiarity	Showing the Familiarity
232488.7134	1000.0	relv	Relevance	Showing the Relevance
233069.46362	1000.0	cate	Emotion_Categ	Showing the Emotion Categories
256947.713705	1000.0	trno	TrialNo	Showing Trial Number Here
257246.46485	1000.0	fixL	Fixation Loop	Fixation Loop
257889.963673	1000.0	stm	15_7	Showing the stimulation
273014.713159	1000.0	vlnc	Valence	Showing the Valence
275300.71464	1000.0	arsl	Arousal	Showing the Arousal
276696.462451	1000.0	dmns	Dominance	Showing the Dominance
277315.212866	1000.0	lkng	Liking	Showing the Liking
277991.964376	1000.0	fmrt	Familiarity	Showing the Familiarity
278689.964009	1000.0	relv	Relevance	Showing the Relevance
279696.214838	1000.0	trno	TrialNo	Showing Trial Number Here
279998.214809	1000.0	fixL	Fixation Loop	Fixation Loop
280516.213911	1000.0	stm	1_8	Showing the stimulation
295640.963396	1000.0	vlnc	Valence	Showing the Valence
297258.463675	1000.0	arsl	Arousal	Showing the Arousal
298374.21401	1000.0	dmns	Dominance	Showing the Dominance
299632.213624	1000.0	lkng	Liking	Showing the Liking
300250.712583	1000.0	fmrt	Familiarity	Showing the Familiarity
300718.71447	1000.0	relv	Relevance	Showing the Relevance
301678.963738	1000.0	trno	TrialNo	Showing Trial Number Here
301968.214834	1000.0	fixL	Fixation Loop	Fixation Loop
302457.464846	1000.0	stm	3_9	Showing the stimulation
308295.964157	1000.0	clic	click	Click event have been performed
310740.713017	1000.0	clic	click	Click event have been performed
316140.213503	1000.0	clic	click	Click event have been performed
317581.962874	1000.0	vlnc	Valence	Showing the Valence
318543.212941	1000.0	arsl	Arousal	Showing the Arousal
319654.962594	1000.0	dmns	Dominance	Showing the Dominance
320152.21397	1000.0	lkng	Liking	Showing the Liking
320731.998594	1000.0	IBEG	Impedances Begin	n/a
320737.213815	1000.0	fmrt	Familiarity	Showing the Familiarity
321238.963759	1000.0	relv	Relevance	Showing the Relevance
321648.464153	1000.0	cate	Emotion_Categ	Showing the Emotion Categories
326407.998787	1000.0	IEND	Impedances End	n/a
329051.713074	1000.0	trno	TrialNo	Showing Trial Number Here
329350.713162	1000.0	fixL	Fixation Loop	Fixation Loop
329638.963459	1000.0	stm	5_10	Showing the stimulation
335845.213743	1000.0	clic	click	Click event have been performed
341148.712939	1000.0	clic	click	Click event have been performed
344763.712944	1000.0	vlnc	Valence	Showing the Valence
345553.713186	1000.0	arsl	Arousal	Showing the Arousal
346192.964898	1000.0	dmns	Dominance	Showing the Dominance
346209.998602	1000.0	IBEG	Impedances Begin	n/a
346798.963925	1000.0	lkng	Liking	Showing the Liking
347643.21352	1000.0	fmrt	Familiarity	Showing the Familiarity
348207.463125	1000.0	relv	Relevance	Showing the Relevance
348779.963037	1000.0	cate	Emotion_Categ	Showing the Emotion Categories
351290.998502	1000.0	IEND	Impedances End	n/a
357566.464866	1000.0	trno	TrialNo	Showing Trial Number Here
357877.964886	1000.0	fixL	Fixation Loop	Fixation Loop
358509.212719	1000.0	stm	9_11	Showing the stimulation
373633.713262	1000.0	vlnc	Valence	Showing the Valence
374829.213215	1000.0	arsl	Arousal	Showing the Arousal
375263.713473	1000.0	dmns	Dominance	Showing the Dominance
375735.962471	1000.0	lkng	Liking	Showing the Liking
376312.714523	1000.0	fmrt	Familiarity	Showing the Familiarity
376772.463588	1000.0	relv	Relevance	Showing the Relevance
377457.46289	1000.0	stop	Stop Event	n/a
