stimuliName	valence	arousal	dominance	liking	familiarity	relevance	emotionCateg	Quadrant	FivePointScale	MouseClick
neutral_1.mp4	6.0	5.0	4.92	4.0	3.0	1.99	{}	n/a	n/a	n/a
2.m4v	2.97	4.56	4.71	3.0	3.0	2.71	{'0': [u'', u'', u'Melancholic: Feeling or expressing pensive sadness', u'', '']}	HVHA	['a little']	[53.53207492828369]
3.mp4	4.98	4.98	5.91	3.0	3.0	3.73	{}	n/a	n/a	n/a
24.mp4	2.03	4.59	4.07	2.0	2.0	2.03	{'0': [u'', u'', u'Sad: Feeling or showing sorrow, unhappy', u'', '']}	HVHA	['quit a bit']	[16.652623891830444]
neutral_2.mp4	4.98	4.04	4.07	2.0	2.0	1.0	{}	n/a	n/a	n/a
5.mp4	2.05	4.21	4.0	2.0	3.0	3.98	{'0': [u'', u'', u'Sad: Feeling or showing sorrow, unhappy', u'', '']}	HVHA	['quit a bit']	[31.465886116027832]
9.m4v	5.04	7.14	6.02	4.0	4.0	3.01	{'1': [u'Excited: Very enthusiastic and eager', u'', u'', u'', ''], '0': [u'Adventorous: Willing to take risks or to try out new methods, ideas, or experiences', u'', u'', u'', '']}	HVHA	['quit a bit', 'quit a bit']	[42.075196743011475, 51.50357961654663]
7.mp4	2.99	7.95	5.04	2.0	2.0	2.03	{}	n/a	n/a	n/a
15.mp4	4.05	5.71	4.88	2.0	2.0	2.02	{'0': [u'', u'', u'Taken Aback: Shock or surprise someone.', u'', '']}	HVHA	['a little']	[36.62821388244629]
8.m4v	7.99	7.03	6.04	4.0	4.0	4.97	{}	n/a	n/a	n/a
4.mp4	1.0	6.97	3.42	1.0	1.0	2.07	{'1': [u'', u'Distrustful: Feeling or showing distrust of someone or something.', u'', u'', ''], '0': [u'', u'Disgust: A feeling of revulsion or strong disapproval aroused by something unpleasant\n or offensiv', u'', u'', '']}	HVHA	['quit a bit', 'very much']	[5.469779014587402, 54.50065994262695]
