onset	duration	trial_type	label	description
8545.450028	1000.0	quiz	quiz	Performing Quiz for the Participants
30637.200549	1000.0	qdon	QDone	Quiz is done by the participant
36294.200644	1000.0	base	baseline	This is the Baseline Recording
56293.202005	1000.0	bend	baseEnd	n/a
58319.201879	1000.0	trno	TrialNo	Showing Trial Number Here
58671.950921	1000.0	fixL	Fixation Loop	Fixation Loop
61221.952178	1000.0	stm	neutral_1_1	Showing the stimulation
75732.950214	1000.0	clic	click	Click event have been performed
76346.450206	1000.0	vlnc	Valence	Showing the Valence
77243.701927	1000.0	arsl	Arousal	Showing the Arousal
77861.200087	1000.0	dmns	Dominance	Showing the Dominance
78808.70048	1000.0	lkng	Liking	Showing the Liking
79805.951659	1000.0	fmrt	Familiarity	Showing the Familiarity
80469.700322	1000.0	relv	Relevance	Showing the Relevance
80878.700316	1000.0	cate	Emotion_Categ	Showing the Emotion Categories
94350.700267	1000.0	trno	TrialNo	Showing Trial Number Here
94696.7002	1000.0	fixL	Fixation Loop	Fixation Loop
97200.70241	1000.0	stm	17_2	Showing the stimulation
112325.200438	1000.0	vlnc	Valence	Showing the Valence
113464.451954	1000.0	arsl	Arousal	Showing the Arousal
115004.450642	1000.0	dmns	Dominance	Showing the Dominance
115834.950563	1000.0	lkng	Liking	Showing the Liking
116423.45069	1000.0	fmrt	Familiarity	Showing the Familiarity
117007.701192	1000.0	relv	Relevance	Showing the Relevance
119241.950288	1000.0	trno	TrialNo	Showing Trial Number Here
119574.452005	1000.0	fixL	Fixation Loop	Fixation Loop
124415.451195	1000.0	stm	23_3	Showing the stimulation
139543.95242	1000.0	vlnc	Valence	Showing the Valence
140420.451388	1000.0	arsl	Arousal	Showing the Arousal
141860.201675	1000.0	dmns	Dominance	Showing the Dominance
142436.20187	1000.0	lkng	Liking	Showing the Liking
142953.700572	1000.0	fmrt	Familiarity	Showing the Familiarity
144251.701981	1000.0	relv	Relevance	Showing the Relevance
145839.950256	1000.0	trno	TrialNo	Showing Trial Number Here
146167.201549	1000.0	fixL	Fixation Loop	Fixation Loop
151029.202435	1000.0	stm	1_4	Showing the stimulation
154889.702518	1000.0	clic	click	Click event have been performed
159467.951674	1000.0	clic	click	Click event have been performed
162990.20173	1000.0	clic	click	Click event have been performed
166153.700463	1000.0	vlnc	Valence	Showing the Valence
166942.450963	1000.0	arsl	Arousal	Showing the Arousal
167748.999596	1000.0	IBEG	Impedances Begin	n/a
168348.951079	1000.0	dmns	Dominance	Showing the Dominance
169304.450322	1000.0	lkng	Liking	Showing the Liking
169980.701432	1000.0	fmrt	Familiarity	Showing the Familiarity
170811.201353	1000.0	relv	Relevance	Showing the Relevance
171604.201477	1000.0	cate	Emotion_Categ	Showing the Emotion Categories
172372.998856	1000.0	IEND	Impedances End	n/a
187127.950508	1000.0	trno	TrialNo	Showing Trial Number Here
187458.702084	1000.0	fixL	Fixation Loop	Fixation Loop
187955.450546	1000.0	puse	pause	Pausing the experiment
187963.0	79173.0	boundary	n/a	n/a
