stimuliName	valence	arousal	dominance	liking	familiarity	relevance	emotionCateg	Quadrant	FivePointScale	MouseClick
neutral_1.mp4	4.98	6.37	4.54	4.0	4.0	3.93	{}	n/a	n/a	n/a
9.m4v	5.04	1.05	1.01	1.0	1.0	1.16	{}	n/a	n/a	n/a
15.mp4	1.08	7.82	7.41	3.0	3.0	3.14	{'1': [u'', u'Angry: Feeling or showing strong annoyance, displeasure, or hostility, full of anger', u'', u'', ''], '0': [u'', u'Angry: Feeling or showing strong annoyance, displeasure, or hostility, full of anger', u'', u'', ''], '2': [u'', u'Angry: Feeling or showing strong annoyance, displeasure, or hostility, full of anger', u'', u'', '']}	HVHA	['very much', 'very much', 'very much']	[15.917124032974243, 35.582255125045776, 59.37048316001892]
4.mp4	1.03	9.0	8.22	4.0	4.0	1.0	{}	n/a	n/a	n/a
5.mp4	1.06	9.0	8.59	5.0	5.0	4.0	{'1': [u'', u'Tense: Become tense, typically through anxiety or nervousness', u'', u'', ''], '0': [u'', u'Startled: Feeling or showing sudden shock or alarm.', u'', u'', ''], '3': [u'', u'Hate: Have a strong aversion to (something)', u'', u'', ''], '2': [u'', u'Hate: Have a strong aversion to (something)', u'', u'', '']}	HVHA	['very much', 'very much', 'very much', 'very much']	[14.17163372039795, 19.59711265563965, 24.68866276741028, 40.73120975494385]
7.mp4	1.0	8.65	8.53	3.0	1.0	1.2	{'1': [u'', u'Afraid: Worried that something undesirable will occur or be done', u'', u'', ''], '0': [u'', u'Afraid: Worried that something undesirable will occur or be done', u'', u'', ''], '3': [u'', u'Alarmed: An anxious awareness of danger', u'', u'', ''], '2': [u'', u'Afraid: Worried that something undesirable will occur or be done', u'', u'', ''], '4': [u'', u'Tense: Become tense, typically through anxiety or nervousness', u'', u'', '']}	HVHA	['very much', 'very much', 'very much', 'very much', 'very much']	[23.07797908782959, 36.28265309333801, 47.11671209335327, 51.10645794868469, 59.586910009384155]
2.m4v	1.0	8.65	7.33	5.0	2.0	1.9	{'1': [u'', u'', u'Sad: Feeling or showing sorrow, unhappy', u'', ''], '0': [u'', u'', u'Sad: Feeling or showing sorrow, unhappy', u'', ''], '2': [u'', u'', u'Sad: Feeling or showing sorrow, unhappy', u'', '']}	HVHA	['not at all', 'not at all', 'very much']	[23.110062837600708, 36.96587800979614, 48.53468084335327]
24.mp4	1.1	7.78	8.22	3.0	3.0	2.99	{'1': [u'', u'', u'Sad: Feeling or showing sorrow, unhappy', u'', ''], '0': [u'', u'', u'Sad: Feeling or showing sorrow, unhappy', u'', ''], '2': [u'', u'', u'Sad: Feeling or showing sorrow, unhappy', u'', '']}	HVHA	['very much', 'very much', 'very much']	[15.821315050125122, 26.521929025650024, 42.11388397216797]
neutral_2.mp4	4.88	5.12	4.9	3.0	3.0	3.04	{}	n/a	n/a	n/a
8.m4v	1.06	5.89	6.12	4.0	4.0	4.29	{'1': [u'Aroused: Sexually excited', u'', u'', u'', ''], '0': [u'Aroused: Sexually excited', u'', u'', u'', ''], '2': [u'Aroused: Sexually excited', u'', u'', u'', '']}	HVHA	['moderately', 'moderately', 'quit a bit']	[2.352681875228882, 6.142071008682251, 16.859351873397827]
17.mp4	2.32	4.17	4.4	4.0	4.0	2.04	{'1': [u'', u'Alarmed: An anxious awareness of danger', u'', u'', ''], '0': [u'', u'Afraid: Worried that something undesirable will occur or be done', u'', u'', '']}	HVHA	['very much', 'moderately']	[11.586513996124268, 50.516154050827026]
