onset	duration	trial_type	label	description
14131.451212	1000.0	base	baseline	This is the Baseline Recording
34128.951374	1000.0	bend	baseEnd	Baseline Ends here
36897.700187	1000.0	trno	TrialNo	Showing Trial Number Here
37200.700957	1000.0	fixL	Fixation Loop	Fixation Loop
40493.951552	1000.0	stm	neutral_1_1	Showing the stimulation
48568.201158	1000.0	clic	click	Click event have been performed
55618.701037	1000.0	vlnc	Valence	Showing the Valence
56951.700244	1000.0	arsl	Arousal	Showing the Arousal
58523.201477	1000.0	dmns	Dominance	Showing the Dominance
59964.950848	1000.0	lkng	Liking	Showing the Liking
61193.700973	1000.0	fmrt	Familiarity	n/a
62276.201136	1000.0	relv	Relevance	Showing the Relevance
63074.451685	1000.0	cate	Emotion_Categ	Showing the Emotion Categories
76688.200515	1000.0	trno	TrialNo	Showing Trial Number Here
77012.200467	1000.0	fixL	Fixation Loop	Fixation Loop
82658.201829	1000.0	stm	2_2	Showing the stimulation
88680.450898	1000.0	clic	click	Click event have been performed
90615.450963	1000.0	clic	click	Click event have been performed
92525.451165	1000.0	clic	click	Click event have been performed
95200.200286	1000.0	clic	click	Click event have been performed
97782.951314	1000.0	vlnc	Valence	Showing the Valence
98006.999586	1000.0	IBEG	Impedances Begin	n/a
99433.701765	1000.0	arsl	Arousal	Showing the Arousal
100160.950888	1000.0	dmns	Dominance	Showing the Dominance
100992.451608	1000.0	lkng	Liking	Showing the Liking
102329.951897	1000.0	fmrt	Familiarity	Showing the Familiarity
103309.998382	1000.0	IEND	Impedances End	n/a
104264.951963	1000.0	relv	Relevance	Showing the Relevance
105694.201402	1000.0	cate	Emotion_Categ	Showing the Emotion Categories
134490.700811	1000.0	trno	TrialNo	Showing Trial Number Here
134794.201981	1000.0	fixL	Fixation Loop	Fixation Loop
137723.702285	1000.0	stm	4_3	Showing the stimulation
147193.95116	1000.0	clic	click	Click event have been performed
149613.700155	1000.0	clic	click	Click event have been performed
152848.451771	1000.0	vlnc	Valence	Showing the Valence
154921.45149	1000.0	arsl	Arousal	Showing the Arousal
156141.702365	1000.0	dmns	Dominance	Showing the Dominance
156919.20016	1000.0	lkng	Liking	Showing the Liking
