onset	duration	trial_type	label	description
20410.405286	1000.0	base	baseline	This is the Baseline Recording
40411.156788	1000.0	bend	baseEnd	Baseline Ends here
41723.654699	1000.0	trno	TrialNo	Showing Trial Number Here
41842.405312	1000.0	fixL	Fixation Loop	Fixation Loop
43682.656344	1000.0	stm	neutral_1_1	n/a
58805.904631	1000.0	vlnc	Valence	Showing the Valence
60836.405586	1000.0	arsl	Arousal	Showing the Arousal
62222.655863	1000.0	dmns	Dominance	Showing the Dominance
63157.404866	1000.0	lkng	Liking	Showing the Liking
64020.156674	1000.0	fmrt	Familiarity	Showing the Familiarity
65188.154764	1000.0	relv	Relevance	Showing the Relevance
66497.406363	1000.0	trno	TrialNo	Showing Trial Number Here
66601.904389	1000.0	fixL	Fixation Loop	Fixation Loop
69768.405519	1000.0	stm	3_2	Showing the stimulation
76619.904768	1000.0	clic	click	Click event have been performed
84893.655404	1000.0	vlnc	Valence	Showing the Valence
85537.999123	1000.0	IBEG	Impedances Begin	n/a
86066.406034	1000.0	arsl	Arousal	Showing the Arousal
86706.404574	1000.0	dmns	Dominance	Showing the Dominance
87156.905048	1000.0	lkng	Liking	Showing the Liking
87659.404334	1000.0	fmrt	Familiarity	Showing the Familiarity
88424.656168	1000.0	relv	Relevance	Showing the Relevance
89054.905716	1000.0	cate	Emotion_Categ	Showing the Emotion Categories
89560.00004	1000.0	IEND	Impedances End	n/a
94946.905039	1000.0	trno	TrialNo	Showing Trial Number Here
95056.155603	1000.0	fixL	Fixation Loop	Fixation Loop
97191.154584	1000.0	stm	2_3	Showing the stimulation
101531.656086	1000.0	clic	click	Click event have been performed
112317.156326	1000.0	vlnc	Valence	Showing the Valence
113527.655695	1000.0	arsl	Arousal	Showing the Arousal
114198.155981	1000.0	dmns	Dominance	Showing the Dominance
114756.154362	1000.0	lkng	Liking	Showing the Liking
115516.404714	1000.0	fmrt	Familiarity	Showing the Familiarity
116534.655076	1000.0	relv	Relevance	Showing the Relevance
117048.904952	1000.0	cate	Emotion_Categ	Showing the Emotion Categories
121828.156337	1000.0	trno	TrialNo	Showing Trial Number Here
121936.906502	1000.0	fixL	Fixation Loop	Fixation Loop
123700.405285	1000.0	stm	7_4	Showing the stimulation
137222.156022	1000.0	clic	click	Click event have been performed
138824.405428	1000.0	vlnc	Valence	Showing the Valence
139951.906353	1000.0	arsl	Arousal	Showing the Arousal
140605.906025	1000.0	dmns	Dominance	Showing the Dominance
