onset	duration	trial_type	label	description
55377.676897	1000.0	quiz	quiz	Performing Quiz for the Participants
183753.677923	1000.0	qdon	QDone	Quiz is done by the participant
189409.926161	1000.0	base	baseline	This is the Baseline Recording
209404.677898	1000.0	bend	baseEnd	Baseline Ends here
211577.677075	1000.0	trno	TrialNo	n/a
211912.927218	1000.0	fixL	Fixation Loop	Fixation Loop
218185.426388	1000.0	stm	neutral_1_1	Showing the stimulation
233309.926931	1000.0	vlnc	Valence	Showing the Valence
234987.67633	1000.0	arsl	Arousal	Showing the Arousal
236085.175909	1000.0	dmns	Dominance	Showing the Dominance
237687.676772	1000.0	lkng	Liking	Showing the Liking
238601.678051	1000.0	fmrt	Familiarity	Showing the Familiarity
239690.927323	1000.0	relv	Relevance	Showing the Relevance
240848.676022	1000.0	trno	TrialNo	Showing Trial Number Here
241164.176725	1000.0	fixL	Fixation Loop	Fixation Loop
242182.427086	1000.0	stm	8_2	Showing the stimulation
246752.425935	1000.0	clic	click	Click event have been performed
249039.425701	1000.0	clic	click	Click event have been performed
257311.177254	1000.0	vlnc	Valence	Showing the Valence
258750.927541	1000.0	arsl	Arousal	Showing the Arousal
259614.677634	1000.0	dmns	Dominance	Showing the Dominance
260720.676463	1000.0	lkng	Liking	Showing the Liking
261275.677476	1000.0	fmrt	Familiarity	Showing the Familiarity
262072.927225	1000.0	relv	Relevance	Showing the Relevance
263266.42558	1000.0	cate	Emotion_Categ	Showing the Emotion Categories
266451.999731	1000.0	IBEG	Impedances Begin	n/a
270809.001848	1000.0	IEND	Impedances End	n/a
294504.427537	1000.0	trno	TrialNo	Showing Trial Number Here
294804.677367	1000.0	fixL	Fixation Loop	Fixation Loop
295284.676272	1000.0	stm	3_3	Showing the stimulation
308026.17576	1000.0	clic	click	Click event have been performed
310408.927873	1000.0	vlnc	Valence	Showing the Valence
311264.676601	1000.0	arsl	Arousal	Showing the Arousal
313034.177665	1000.0	dmns	Dominance	Showing the Dominance
317537.175771	1000.0	lkng	Liking	Showing the Liking
318129.928038	1000.0	fmrt	Familiarity	Showing the Familiarity
318860.177044	1000.0	relv	Relevance	Showing the Relevance
320596.176479	1000.0	cate	Emotion_Categ	Showing the Emotion Categories
325767.177902	1000.0	trno	TrialNo	Showing Trial Number Here
326092.676539	1000.0	fixL	Fixation Loop	Fixation Loop
326772.925816	1000.0	stm	24_4	Showing the stimulation
337907.425873	1000.0	clic	click	Click event have been performed
341897.177417	1000.0	vlnc	Valence	Showing the Valence
343145.176582	1000.0	arsl	Arousal	Showing the Arousal
344580.677245	1000.0	dmns	Dominance	Showing the Dominance
345436.17703	1000.0	lkng	Liking	Showing the Liking
345966.427121	1000.0	fmrt	Familiarity	Showing the Familiarity
346600.677352	1000.0	relv	Relevance	Showing the Relevance
347364.427987	1000.0	cate	Emotion_Categ	Showing the Emotion Categories
356361.178122	1000.0	trno	TrialNo	Showing Trial Number Here
356670.928001	1000.0	fixL	Fixation Loop	Fixation Loop
363022.927847	1000.0	stm	neutral_2_5	Showing the stimulation
378147.176933	1000.0	vlnc	Valence	Showing the Valence
379587.176163	1000.0	arsl	Arousal	Showing the Arousal
380884.926114	1000.0	dmns	Dominance	Showing the Dominance
382212.177012	1000.0	lkng	Liking	Showing the Liking
382733.927853	1000.0	fmrt	Familiarity	Showing the Familiarity
383359.927777	1000.0	relv	Relevance	Showing the Relevance
