stimuliName	valence	arousal	dominance	liking	familiarity	relevance	emotionCateg	Quadrant	FivePointScale	MouseClick
neutral_1.mp4	4.92	4.94	5.06	2.0	1.0	1.0	{'0': [u'', u'', u'No Emotion From List', u'', '']}	HVHA	['a little']	[58.05061411857605]
17.mp4	1.03	8.92	5.98	2.0	1.0	3.08	{}	n/a	n/a	n/a
23.mp4	8.97	5.02	5.04	5.0	3.0	4.08	{}	n/a	n/a	n/a
1.mp4	1.05	9.0	8.01	1.0	3.0	1.97	{'1': [u'', u'Afraid: Worried that something undesirable will occur or be done', u'', u'', ''], '0': [u'', u'', u'Taken Aback: Shock or surprise someone.', u'', ''], '2': [u'', u'Afraid: Worried that something undesirable will occur or be done', u'', u'', '']}	HVHA	['not at all', 'not at all', 'not at all']	[15.458051919937134, 33.77103877067566, 47.86044883728027]
8.m4v	7.93	7.06	4.96	4.0	3.0	1.0	{}	n/a	n/a	n/a
neutral_2.mp4	1.0	7.18	6.91	2.0	1.0	1.06	{}	n/a	n/a	n/a
3.mp4	8.05	5.08	6.77	4.0	1.0	1.0	{'1': [u'', u'', u'', u'Peaceful: Free from disturbance, tranquil.', ''], '0': [u'', u'', u'', u'Hopeful: Feeling or inspiring optimism about a future event.', ''], '2': [u'Amused: Finding something funny or entertaining.', u'', u'', u'', '']}	HVHA	['not at all', 'not at all', 'not at all']	[15.824787139892578, 24.705796003341675, 56.67395901679993]
4.mp4	1.0	6.93	4.0	1.0	5.0	1.06	{'1': [u'', u'', u'Melancholic: Feeling or expressing pensive sadness', u'', ''], '0': [u'', u'Distress: Suffering from extreme anxiety, sorrow, or pain', u'', u'', '']}	HVHA	['not at all', 'not at all']	[4.363909006118774, 39.30355501174927]
28.mp4	5.0	1.0	1.0	1.0	1.0	1.05	{}	n/a	n/a	n/a
6.mp4	8.05	9.0	9.0	4.0	1.0	1.03	{}	n/a	n/a	n/a
