stimuliName	valence	arousal	dominance	liking	familiarity	relevance	emotionCateg	Quadrant	FivePointScale	MouseClick
neutral_1.mp4	4.9	4.0	5.06	2.0	2.0	1.14	{}	n/a	n/a	n/a
16.mp4	2.03	7.06	5.23	2.0	3.0	1.07	{'1': [u'', u'Disgust: A feeling of revulsion or strong disapproval aroused by something unpleasant\n or offensiv', u'', u'', ''], '0': [u'', u'Disgust: A feeling of revulsion or strong disapproval aroused by something unpleasant\n or offensiv', u'', u'', '']}	HVHA	['moderately', 'quit a bit']	[9.340089082717896, 32.04383587837219]
24.mp4	2.11	5.98	5.0	2.0	4.0	1.01	{'0': [u'', u'Angry: Feeling or showing strong annoyance, displeasure, or hostility, full of anger', u'', u'', '']}	HVHA	['a little']	[27.692378997802734]
neutral_2.mp4	5.06	4.92	5.08	2.0	1.0	1.0	{}	n/a	n/a	n/a
17.mp4	4.0	5.96	5.06	4.0	3.0	1.0	{'0': [u'', u'Afraid: Worried that something undesirable will occur or be done', u'', u'', '']}	HVHA	['a little']	[10.792122840881348]
27.mp4	4.0	5.04	4.9	2.0	1.0	1.01	{}	n/a	n/a	n/a
2.m4v	2.15	7.03	5.06	2.0	4.0	1.05	{'0': [u'', u'Disgust: A feeling of revulsion or strong disapproval aroused by something unpleasant\n or offensiv', u'', u'', '']}	HVHA	['quit a bit']	[29.28455877304077]
4.mp4	1.99	6.81	5.96	2.0	2.0	1.0	{'0': [u'', u'Disgust: A feeling of revulsion or strong disapproval aroused by something unpleasant\n or offensiv', u'', u'', '']}	HVHA	['quit a bit']	[42.566797971725464]
9.m4v	6.93	6.08	4.94	4.0	5.0	1.03	{}	n/a	n/a	n/a
12.m4v	8.74	7.14	5.95	5.0	5.0	3.68	{'1': [u'Joyous: Full of happiness and joy', u'', u'', u'', ''], '0': [u'Happy: Feeling or showing pleasure or contentment', u'', u'', u'', '']}	HVHA	['quit a bit', 'moderately']	[3.245654821395874, 31.60812997817993]
5.mp4	5.14	5.06	5.08	3.0	3.0	1.02	{}	n/a	n/a	n/a
