stimuliName	valence	arousal	dominance	liking	familiarity	relevance	emotionCateg	Quadrant	FivePointScale	MouseClick
neutral_1.mp4	5.0	5.17	5.35	4.0	2.0	1.94	{'1': [u'Excited: Very enthusiastic and eager', u'', u'', u'', u'amazed'], '0': [u'Excited: Very enthusiastic and eager', u'', u'', u'', u'surprised'], '2': [u'Excited: Very enthusiastic and eager', u'', u'', u'', u'surprised']}	HVHA	['very much', 'not at all', 'very much']	[25.525619983673096, 30.707831859588623, 53.4261908531189]
2.m4v	1.24	1.0	1.99	1.0	2.0	1.94	{'1': [u'', u'', u'Depressed: in a state of unhappiness or despondency', u'', ''], '0': [u'', u'', u'Sad: Feeling or showing sorrow, unhappy', u'', ''], '3': [u'', u'Frustrated: Feeling or expressing distress and annoyance resulting from an inability \nto change or achieve somethin', u'', u'', ''], '2': [u'', u'Tense: Become tense, typically through anxiety or nervousness', u'', u'', '']}	HVHA	['very much', 'very much', 'not at all', 'very much']	[13.17212200164795, 17.33465003967285, 29.688605070114136, 52.055782079696655]
3.mp4	7.16	6.93	5.04	4.0	4.0	4.08	{'1': [u'Happy: Feeling or showing pleasure or contentment', u'', u'', u'', ''], '0': [u'Joyous: Full of happiness and joy', u'', u'', u'', ''], '3': [u'Happy: Feeling or showing pleasure or contentment', u'', u'', u'', ''], '2': [u'Happy: Feeling or showing pleasure or contentment', u'', u'', u'', '']}	HVHA	['quit a bit', 'quit a bit', 'quit a bit', 'very much']	[14.253203868865967, 25.11927890777588, 43.22353386878967, 54.82524299621582]
24.mp4	1.14	1.0	1.0	1.0	2.0	3.95	{'1': [u'', u'Hate: Have a strong aversion to (something)', u'', u'', ''], '0': [u'', u'Afraid: Worried that something undesirable will occur or be done', u'', u'', ''], '2': [u'', u'Hate: Have a strong aversion to (something)', u'', u'', '']}	HVHA	['quit a bit', 'very much', 'very much']	[7.9965338706970215, 25.214955806732178, 39.307379961013794]
neutral_2.mp4	4.96	2.9	3.11	3.0	1.0	1.16	{'1': [u'Amused: Finding something funny or entertaining.', u'', u'', u'', u'']}	HVHA	['moderately', 'quit a bit']	[20.966722011566162, 48.165132999420166]
5.mp4	1.16	1.08	1.0	2.0	1.0	1.0	{'1': [u'', u'Disgust: A feeling of revulsion or strong disapproval aroused by something unpleasant\n or offensiv', u'', u'', ''], '0': [u'', u'Afraid: Worried that something undesirable will occur or be done', u'', u'', ''], '3': [u'', u'Frustrated: Feeling or expressing distress and annoyance resulting from an inability \nto change or achieve somethin', u'', u'', ''], '2': [u'', u'Afraid: Worried that something undesirable will occur or be done', u'', u'', '']}	HVHA	['very much', 'very much', 'very much', 'not at all']	[8.554357767105103, 11.696947813034058, 30.018889904022217, 40.349793672561646]
9.m4v	7.8	8.9	8.97	5.0	3.0	4.06	{'1': [u'Adventorous: Willing to take risks or to try out new methods, ideas, or experiences', u'', u'', u'', ''], '0': [u'Adventorous: Willing to take risks or to try out new methods, ideas, or experiences', u'', u'', u'', ''], '2': [u'Adventorous: Willing to take risks or to try out new methods, ideas, or experiences', u'', u'', u'', '']}	HVHA	['very much', 'very much', 'very much']	[23.29429817199707, 26.203087091445923, 35.74853014945984]
7.mp4	1.03	8.86	4.98	2.0	2.0	2.04	{'1': [u'', u'Disgust: A feeling of revulsion or strong disapproval aroused by something unpleasant\n or offensiv', u'', u'', ''], '0': [u'', u'Disgust: A feeling of revulsion or strong disapproval aroused by something unpleasant\n or offensiv', u'', u'', ''], '3': [u'', u'Tense: Become tense, typically through anxiety or nervousness', u'', u'', ''], '2': [u'', u'Hate: Have a strong aversion to (something)', u'', u'', '']}	HVHA	['quit a bit', 'very much', 'very much', 'very much']	[18.68788433074951, 25.240792274475098, 38.31339621543884, 50.332818269729614]
15.mp4	1.03	1.01	1.0	1.0	1.0	1.0	{'1': [u'', u'Angry: Feeling or showing strong annoyance, displeasure, or hostility, full of anger', u'', u'', ''], '0': [u'', u'Tense: Become tense, typically through anxiety or nervousness', u'', u'', ''], '3': [u'', u'Hate: Have a strong aversion to (something)', u'', u'', ''], '2': [u'', u'Disgust: A feeling of revulsion or strong disapproval aroused by something unpleasant\n or offensiv', u'', u'', '']}	HVHA	['quit a bit', 'quit a bit', 'very much', 'very much']	[10.095793962478638, 23.318886041641235, 36.02359199523926, 52.67423105239868]
8.m4v	8.09	7.41	5.0	4.0	4.0	3.98	{'1': [u'Passionate: Arising from intense feelings of sexual love.', u'', u'', u'', ''], '0': [u'Passionate: Arising from intense feelings of sexual love.', u'', u'', u'', ''], '2': [u'Happy: Feeling or showing pleasure or contentment', u'', u'', u'', '']}	HVHA	['very much', 'very much', 'very much']	[14.684261798858643, 20.65216875076294, 25.031991720199585]
4.mp4	1.05	1.0	1.05	1.0	1.0	1.0	{'1': [u'', u'Alarmed: An anxious awareness of danger', u'', u'', ''], '0': [u'', u'Alarmed: An anxious awareness of danger', u'', u'', ''], '2': [u'', u'Disgust: A feeling of revulsion or strong disapproval aroused by something unpleasant\n or offensiv', u'', u'', '']}	HVHA	['quit a bit', 'quit a bit', 'very much']	[8.986040115356445, 20.604406118392944, 45.679868936538696]
